status,momentum_lookback,sma_lookback,regime_lookback,fallback_strategy,total_lookback,train_windows,train_improvement_pct,train_extra_spd_sum_vs_dca,train_win_rate_pct,train_strategy_sats,train_dca_sats,train_fallback_days,error
success,21,120,270,stacksats_momentum_weight,411,6,-1.0636427720357111,-537.2752586400602,66.66666666666666,49975478.90710011,50512754.16574016,64,
success,21,120,300,sma_120d_weight,441,6,-0.8263584013398884,-417.4163877967585,66.66666666666666,50095337.777943425,50512754.16574016,52,
success,21,120,300,stacksats_mvrv_weight,441,6,-1.0688577532757315,-539.9094892936264,66.66666666666666,49972844.67644655,50512754.16574016,52,
success,21,120,300,stacksats_momentum_weight,441,6,-1.042942299286398,-526.8188797290568,66.66666666666666,49985935.28601111,50512754.16574016,52,
success,21,120,340,sma_120d_weight,481,6,-0.8364466150039385,-422.5122223645958,66.66666666666666,50090241.943375565,50512754.16574016,48,
success,21,120,340,stacksats_mvrv_weight,481,6,-1.076940359513956,-543.9922363129226,66.66666666666666,49968761.929427244,50512754.16574016,48,
success,21,120,340,stacksats_momentum_weight,481,6,-1.0519285798693656,-531.3580975485747,66.66666666666666,49981396.068191595,50512754.16574016,48,
success,21,150,60,sma_150d_weight,231,6,0.37325002238273175,188.5388662297628,66.66666666666666,50701293.031969935,50512754.16574016,73,
success,21,150,60,stacksats_mvrv_weight,231,6,0.3308659907342415,167.12952451762976,66.66666666666666,50679883.6902578,50512754.16574016,73,
success,21,150,60,stacksats_momentum_weight,231,6,0.30611666407325266,154.62795798369189,66.66666666666666,50667382.123723865,50512754.16574016,73,
success,21,150,90,sma_150d_weight,261,6,0.09266665392468898,46.808479090599576,66.66666666666666,50559562.64483077,50512754.16574016,93,
success,21,150,90,stacksats_mvrv_weight,261,6,0.03297534977675376,16.656757368022227,66.66666666666666,50529410.92310818,50512754.16574016,93,
success,21,150,90,stacksats_momentum_weight,261,6,-0.03666359636970151,-18.519792302548012,66.66666666666666,50494234.37343763,50512754.16574016,93,
success,21,150,120,sma_150d_weight,291,6,-0.29232601840548655,-147.6619230396609,66.66666666666666,50365092.242700495,50512754.16574016,83,
success,21,150,120,stacksats_mvrv_weight,291,6,-0.36328439813276825,-183.50495495129144,66.66666666666666,50329249.21078889,50512754.16574016,83,
success,21,150,120,stacksats_momentum_weight,291,6,-0.42054410951657406,-212.42841219860566,66.66666666666666,50300325.75354158,50512754.16574016,83,
success,21,150,150,sma_150d_weight,321,6,-0.41167795447555333,-207.94987309878343,66.66666666666666,50304804.29264139,50512754.16574016,82,
success,21,150,150,stacksats_mvrv_weight,321,6,-0.4870305155912136,-246.01252705272782,66.66666666666666,50266741.63868745,50512754.16574016,82,
success,21,150,150,stacksats_momentum_weight,321,6,-0.5415141238378496,-273.5336981469736,66.66666666666666,50239220.4675932,50512754.16574016,82,
